START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/03/18,07:05 PM,07:05 PM,Braves at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/03/18,07/03/18,10:05 PM,10:05 PM,FALSE,TRUE,07/03/18,06:05 PM,06:05 PM,FREE,BUSY
07/04/18,01:05 PM,01:05 PM,Braves at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/04/18,07/04/18,04:05 PM,04:05 PM,FALSE,TRUE,07/04/18,12:05 PM,12:05 PM,FREE,BUSY
07/06/18,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/06/18,07/06/18,10:07 PM,10:07 PM,FALSE,TRUE,07/06/18,06:07 PM,06:07 PM,FREE,BUSY
07/07/18,04:07 PM,04:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/07/18,07/07/18,07:07 PM,07:07 PM,FALSE,TRUE,07/07/18,03:07 PM,03:07 PM,FREE,BUSY
07/08/18,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local Radio: WFAN 660/101.9 FM- WADO 1280",07/08/18,07/08/18,04:07 PM,04:07 PM,FALSE,TRUE,07/08/18,12:07 PM,12:07 PM,FREE,BUSY
07/09/18,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/09/18,07/09/18,10:05 PM,10:05 PM,FALSE,TRUE,07/09/18,06:05 PM,06:05 PM,FREE,BUSY
07/10/18,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/10/18,07/10/18,10:05 PM,10:05 PM,FALSE,TRUE,07/10/18,06:05 PM,06:05 PM,FREE,BUSY
07/11/18,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/11/18,07/11/18,10:05 PM,10:05 PM,FALSE,TRUE,07/11/18,06:05 PM,06:05 PM,FREE,BUSY
07/12/18,07:10 PM,07:10 PM,Yankees at Indians,Progressive Field - Cleveland,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/12/18,07/12/18,10:10 PM,10:10 PM,FALSE,TRUE,07/12/18,06:10 PM,06:10 PM,FREE,BUSY
07/13/18,07:10 PM,07:10 PM,Yankees at Indians,Progressive Field - Cleveland,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/13/18,07/13/18,10:10 PM,10:10 PM,FALSE,TRUE,07/13/18,06:10 PM,06:10 PM,FREE,BUSY
07/14/18,07:15 PM,07:15 PM,Yankees at Indians,Progressive Field - Cleveland,"Local TV: FOX ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/14/18,07/14/18,10:15 PM,10:15 PM,FALSE,TRUE,07/14/18,06:15 PM,06:15 PM,FREE,BUSY
07/15/18,01:10 PM,01:10 PM,Yankees at Indians,Progressive Field - Cleveland,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/15/18,07/15/18,04:10 PM,04:10 PM,FALSE,TRUE,07/15/18,12:10 PM,12:10 PM,FREE,BUSY
07/17/18,,,NL All-Stars at AL All-Stars - Time TBD,Nationals Park - Washington,"",07/17/18,07/17/18,,,FALSE,TRUE,07/17/18,,,FREE,BUSY
07/20/18,07:05 PM,07:05 PM,Mets at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/20/18,07/20/18,10:05 PM,10:05 PM,FALSE,TRUE,07/20/18,06:05 PM,06:05 PM,FREE,BUSY
07/21/18,01:05 PM,01:05 PM,Mets at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/21/18,07/21/18,04:05 PM,04:05 PM,FALSE,TRUE,07/21/18,12:05 PM,12:05 PM,FREE,BUSY
07/22/18,08:05 PM,08:05 PM,Mets at Yankees,Yankee Stadium - Bronx,"Local TV: ESPN ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/22/18,07/22/18,11:05 PM,11:05 PM,FALSE,TRUE,07/22/18,07:05 PM,07:05 PM,FREE,BUSY
07/23/18,07:10 PM,07:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/23/18,07/23/18,10:10 PM,10:10 PM,FALSE,TRUE,07/23/18,06:10 PM,06:10 PM,FREE,BUSY
07/24/18,07:10 PM,07:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/24/18,07/24/18,10:10 PM,10:10 PM,FALSE,TRUE,07/24/18,06:10 PM,06:10 PM,FREE,BUSY
07/25/18,12:10 PM,12:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/25/18,07/25/18,03:10 PM,03:10 PM,FALSE,TRUE,07/25/18,11:10 AM,11:10 AM,FREE,BUSY
07/26/18,07:05 PM,07:05 PM,Royals at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/26/18,07/26/18,10:05 PM,10:05 PM,FALSE,TRUE,07/26/18,06:05 PM,06:05 PM,FREE,BUSY
07/27/18,07:05 PM,07:05 PM,Royals at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/27/18,07/27/18,10:05 PM,10:05 PM,FALSE,TRUE,07/27/18,06:05 PM,06:05 PM,FREE,BUSY
07/28/18,01:05 PM,01:05 PM,Royals at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/28/18,07/28/18,04:05 PM,04:05 PM,FALSE,TRUE,07/28/18,12:05 PM,12:05 PM,FREE,BUSY
07/29/18,01:05 PM,01:05 PM,Royals at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",07/29/18,07/29/18,04:05 PM,04:05 PM,FALSE,TRUE,07/29/18,12:05 PM,12:05 PM,FREE,BUSY
