START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/26/18,01:05 PM,01:05 PM,Rays at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local TV: FS-D ----- Local Radio: WXYT 1270",03/26/18,03/26/18,04:05 PM,04:05 PM,FALSE,TRUE,03/26/18,12:05 PM,12:05 PM,FREE,BUSY
03/27/18,12:35 PM,12:35 PM,Tigers at Rays,Tropicana Field - St. Petersburg,"",03/27/18,03/27/18,03:35 PM,03:35 PM,FALSE,TRUE,03/27/18,11:35 AM,11:35 AM,FREE,BUSY
03/30/18,01:10 PM,01:10 PM,Pirates at Tigers,Comerica Park - Detroit,"Local TV: FS-D- MLBN (out-of-market only) ----- Local Radio: 97.1 The Ticket",03/30/18,03/30/18,04:10 PM,04:10 PM,FALSE,TRUE,03/30/18,12:10 PM,12:10 PM,FREE,BUSY
04/01/18,01:10 PM,01:10 PM,Pirates at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/01/18,04/01/18,04:10 PM,04:10 PM,FALSE,TRUE,04/01/18,12:10 PM,12:10 PM,FREE,BUSY
04/01/18,06:10 PM,06:10 PM,Pirates at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/01/18,04/01/18,09:10 PM,09:10 PM,FALSE,TRUE,04/01/18,05:10 PM,05:10 PM,FREE,BUSY
04/02/18,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/02/18,04/02/18,04:10 PM,04:10 PM,FALSE,TRUE,04/02/18,12:10 PM,12:10 PM,FREE,BUSY
04/03/18,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D- MLBN (out-of-market only) ----- Local Radio: 97.1 The Ticket",04/03/18,04/03/18,04:10 PM,04:10 PM,FALSE,TRUE,04/03/18,12:10 PM,12:10 PM,FREE,BUSY
04/05/18,04:10 PM,04:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/05/18,04/05/18,07:10 PM,07:10 PM,FALSE,TRUE,04/05/18,03:10 PM,03:10 PM,FREE,BUSY
04/07/18,02:10 PM,02:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/07/18,04/07/18,05:10 PM,05:10 PM,FALSE,TRUE,04/07/18,01:10 PM,01:10 PM,FREE,BUSY
04/08/18,02:10 PM,02:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FS-D+ ----- Local Radio: 97.1 The Ticket",04/08/18,04/08/18,05:10 PM,05:10 PM,FALSE,TRUE,04/08/18,01:10 PM,01:10 PM,FREE,BUSY
