START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,12:05 PM,03:05 PM,White Sox at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports- KTNQ 1020",02/23/18,02/23/18,03:05 PM,06:05 PM,FALSE,TRUE,02/23/18,11:05 AM,02:05 PM,FREE,BUSY
02/24/18,12:05 PM,03:05 PM,Dodgers at Royals,Surprise Stadium - Surprise,"",02/24/18,02/24/18,03:05 PM,06:05 PM,FALSE,TRUE,02/24/18,11:05 AM,02:05 PM,FREE,BUSY
02/24/18,12:05 PM,03:05 PM,Giants at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports- KTNQ 1020",02/24/18,02/24/18,03:05 PM,06:05 PM,FALSE,TRUE,02/24/18,11:05 AM,02:05 PM,FREE,BUSY
02/25/18,12:10 PM,03:10 PM,Dodgers at Mariners,Peoria Stadium - Peoria,"Local TV: SportsNet LA",02/25/18,02/25/18,03:10 PM,06:10 PM,FALSE,TRUE,02/25/18,11:10 AM,02:10 PM,FREE,BUSY
02/26/18,12:05 PM,03:05 PM,Dodgers at Rangers,Surprise Stadium - Surprise,"",02/26/18,02/26/18,03:05 PM,06:05 PM,FALSE,TRUE,02/26/18,11:05 AM,02:05 PM,FREE,BUSY
02/27/18,12:05 PM,03:05 PM,Rangers at Dodgers,Camelback Ranch - Glendale,"",02/27/18,02/27/18,03:05 PM,06:05 PM,FALSE,TRUE,02/27/18,11:05 AM,02:05 PM,FREE,BUSY
02/28/18,12:10 PM,03:10 PM,Dodgers at Padres,Peoria Stadium - Peoria,"",02/28/18,02/28/18,03:10 PM,06:10 PM,FALSE,TRUE,02/28/18,11:10 AM,02:10 PM,FREE,BUSY
03/01/18,12:05 PM,03:05 PM,Indians at Dodgers,Camelback Ranch - Glendale,"",03/01/18,03/01/18,03:05 PM,06:05 PM,FALSE,TRUE,03/01/18,11:05 AM,02:05 PM,FREE,BUSY
03/02/18,12:05 PM,03:05 PM,Dodgers at White Sox,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports",03/02/18,03/02/18,03:05 PM,06:05 PM,FALSE,TRUE,03/02/18,11:05 AM,02:05 PM,FREE,BUSY
03/03/18,12:05 PM,03:05 PM,D-backs at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: AM 570 LA Sports",03/03/18,03/03/18,03:05 PM,06:05 PM,FALSE,TRUE,03/03/18,11:05 AM,02:05 PM,FREE,BUSY
