START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/17/18,02:05 PM,03:05 PM,Rockies at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/17/18,06/17/18,05:05 PM,06:05 PM,FALSE,TRUE,06/17/18,01:05 PM,02:05 PM,FREE,BUSY
06/18/18,07:15 PM,08:15 PM,Rangers at Royals,Kauffman Stadium - Kansas City,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/18/18,06/18/18,10:15 PM,11:15 PM,FALSE,TRUE,06/18/18,06:15 PM,07:15 PM,FREE,BUSY
06/19/18,07:15 PM,08:15 PM,Rangers at Royals,Kauffman Stadium - Kansas City,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/19/18,06/19/18,10:15 PM,11:15 PM,FALSE,TRUE,06/19/18,06:15 PM,07:15 PM,FREE,BUSY
06/20/18,07:15 PM,08:15 PM,Rangers at Royals,Kauffman Stadium - Kansas City,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/20/18,06/20/18,10:15 PM,11:15 PM,FALSE,TRUE,06/20/18,06:15 PM,07:15 PM,FREE,BUSY
06/22/18,07:10 PM,08:10 PM,Rangers at Twins,Target Field - Minneapolis,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/22/18,06/22/18,10:10 PM,11:10 PM,FALSE,TRUE,06/22/18,06:10 PM,07:10 PM,FREE,BUSY
06/23/18,01:10 PM,02:10 PM,Rangers at Twins,Target Field - Minneapolis,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/23/18,06/23/18,04:10 PM,05:10 PM,FALSE,TRUE,06/23/18,12:10 PM,01:10 PM,FREE,BUSY
06/24/18,01:10 PM,02:10 PM,Rangers at Twins,Target Field - Minneapolis,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/24/18,06/24/18,04:10 PM,05:10 PM,FALSE,TRUE,06/24/18,12:10 PM,01:10 PM,FREE,BUSY
06/25/18,07:05 PM,08:05 PM,Padres at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/25/18,06/25/18,10:05 PM,11:05 PM,FALSE,TRUE,06/25/18,06:05 PM,07:05 PM,FREE,BUSY
06/26/18,07:05 PM,08:05 PM,Padres at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/26/18,06/26/18,10:05 PM,11:05 PM,FALSE,TRUE,06/26/18,06:05 PM,07:05 PM,FREE,BUSY
06/27/18,07:05 PM,08:05 PM,Padres at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/27/18,06/27/18,10:05 PM,11:05 PM,FALSE,TRUE,06/27/18,06:05 PM,07:05 PM,FREE,BUSY
06/29/18,07:05 PM,08:05 PM,White Sox at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/29/18,06/29/18,10:05 PM,11:05 PM,FALSE,TRUE,06/29/18,06:05 PM,07:05 PM,FREE,BUSY
06/30/18,08:05 PM,09:05 PM,White Sox at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",06/30/18,07/01/18,11:05 PM,12:05 AM,FALSE,TRUE,06/30/18,07:05 PM,08:05 PM,FREE,BUSY
07/01/18,02:05 PM,03:05 PM,White Sox at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/01/18,07/01/18,05:05 PM,06:05 PM,FALSE,TRUE,07/01/18,01:05 PM,02:05 PM,FREE,BUSY
07/03/18,07:05 PM,08:05 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/03/18,07/03/18,10:05 PM,11:05 PM,FALSE,TRUE,07/03/18,06:05 PM,07:05 PM,FREE,BUSY
07/04/18,06:05 PM,07:05 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/04/18,07/04/18,09:05 PM,10:05 PM,FALSE,TRUE,07/04/18,05:05 PM,06:05 PM,FREE,BUSY
07/05/18,06:10 PM,07:10 PM,Rangers at Tigers,Comerica Park - Detroit,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/05/18,07/05/18,09:10 PM,10:10 PM,FALSE,TRUE,07/05/18,05:10 PM,06:10 PM,FREE,BUSY
07/06/18,06:10 PM,07:10 PM,Rangers at Tigers,Comerica Park - Detroit,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/06/18,07/06/18,09:10 PM,10:10 PM,FALSE,TRUE,07/06/18,05:10 PM,06:10 PM,FREE,BUSY
07/07/18,03:10 PM,04:10 PM,Rangers at Tigers,Comerica Park - Detroit,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/07/18,07/07/18,06:10 PM,07:10 PM,FALSE,TRUE,07/07/18,02:10 PM,03:10 PM,FREE,BUSY
07/08/18,12:10 PM,01:10 PM,Rangers at Tigers,Comerica Park - Detroit,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/08/18,07/08/18,03:10 PM,04:10 PM,FALSE,TRUE,07/08/18,11:10 AM,12:10 PM,FREE,BUSY
07/09/18,06:10 PM,07:10 PM,Rangers at Red Sox,Fenway Park - Boston,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/09/18,07/09/18,09:10 PM,10:10 PM,FALSE,TRUE,07/09/18,05:10 PM,06:10 PM,FREE,BUSY
07/10/18,06:10 PM,07:10 PM,Rangers at Red Sox,Fenway Park - Boston,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/10/18,07/10/18,09:10 PM,10:10 PM,FALSE,TRUE,07/10/18,05:10 PM,06:10 PM,FREE,BUSY
07/11/18,06:10 PM,07:10 PM,Rangers at Red Sox,Fenway Park - Boston,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/11/18,07/11/18,09:10 PM,10:10 PM,FALSE,TRUE,07/11/18,05:10 PM,06:10 PM,FREE,BUSY
07/13/18,06:05 PM,07:05 PM,Rangers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",07/13/18,07/13/18,09:05 PM,10:05 PM,FALSE,TRUE,07/13/18,05:05 PM,06:05 PM,FREE,BUSY
07/14/18,06:15 PM,07:15 PM,Rangers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FOX ----- Local Radio: 105.3 The Fan- KFLC 1270",07/14/18,07/14/18,09:15 PM,10:15 PM,FALSE,TRUE,07/14/18,05:15 PM,06:15 PM,FREE,BUSY
